[2009-05-20 00:06:35] 7 User  hat sich eingeloggt.
[2009-05-20 00:33:58] 7 User 1 hat sich eingeloggt.
[2009-05-20 00:36:23] 7 User 1 hat sich eingeloggt.
[2009-05-20 00:43:16] 7 User 1 hat sich eingeloggt.
[2009-05-20 01:06:05] 80 1 Karte gewechselt, von 39 nach 41.
[2009-05-20 01:06:07] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:06:07] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:06:07] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:06:07] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:06:07] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:06:07] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:06:07] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:06:07] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:06:07] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:06:07] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:06:07] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:06:07] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:06:12] 80 1 Karte gewechselt, von 41 nach 39.
[2009-05-20 01:06:12] 4 Kann Userposition (39 -> 39) nicht verändern: Kein gültiger Zugang zum Ziel. (/world/lib/classes/World/World_User.php)
[2009-05-20 01:06:14] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:06:14] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:06:14] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:06:14] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:06:14] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:06:14] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:08:31] 7 User 1 hat sich eingeloggt.
[2009-05-20 01:08:41] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:08:41] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:08:41] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:08:41] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:08:41] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:08:41] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:09:10] 7 User 1 hat sich eingeloggt.
[2009-05-20 01:09:20] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:09:20] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:09:20] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:09:20] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:09:20] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:09:20] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:11:20] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:11:20] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:11:20] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:11:20] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:11:20] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:11:20] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:13:03] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:13:03] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:13:03] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:13:03] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:13:03] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:13:03] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:13:06] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:13:06] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:13:06] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:13:06] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:13:06] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:13:06] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:13:17] 7 User 1 hat sich eingeloggt.
[2009-05-20 01:13:24] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:13:24] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:13:24] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:13:24] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:13:24] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:13:24] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:13:24] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:13:24] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:13:24] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:13:24] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:13:24] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:13:24] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:13:24] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:13:24] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
[2009-05-20 01:13:24] 4 Unbekannter DV-Wert kp. (/world/lib/classes/World/World_PokemonInstance.php)
